"","date","total","Armed_Assault","Bombing","Assisination","Hijacking","Hostage","Kidnapping","Facility_attack","Unarmed_assault","Unknown"
"240","2008-03-25",1,1,0,0,0,0,0,0,0,0
"241","2008-03-29",1,1,0,0,0,0,0,0,0,0
"242","2008-04-01",2,2,0,0,0,0,0,0,0,0
"243","2008-04-03",1,1,0,0,0,0,1,0,0,0
"244","2008-04-04",4,4,0,0,0,0,1,0,0,0
"245","2008-04-08",1,1,0,0,0,0,1,0,0,0
"246","2008-04-09",1,1,0,0,0,0,0,0,0,0
"247","2008-04-10",1,1,1,0,0,0,0,0,0,0
"248","2008-04-11",1,1,0,0,0,0,0,0,0,0
"249","2008-04-13",1,1,1,0,0,0,1,0,0,0
"250","2008-04-19",2,2,0,0,0,0,1,0,0,1
"251","2008-04-21",1,1,0,0,0,0,0,0,0,0
"252","2008-04-22",2,2,0,0,0,0,0,0,0,0
"253","2008-04-24",1,1,1,0,0,0,0,0,0,0
"254","2008-04-30",1,1,1,0,0,0,0,0,0,0
"255","2008-05-03",2,2,0,0,0,0,0,0,0,0
"256","2008-05-04",1,1,0,0,0,0,0,0,0,0
"257","2008-05-10",2,2,1,0,0,0,0,0,0,0
"258","2008-05-11",1,1,1,1,0,0,1,0,0,0
"259","2008-05-12",1,1,0,0,0,0,0,0,0,0
"260","2008-05-14",1,1,1,0,0,0,0,0,1,0
"261","2008-05-15",3,3,1,0,0,0,0,0,0,0
"262","2008-05-16",1,1,0,0,0,0,1,0,0,0
"263","2008-05-21",2,2,0,0,0,0,0,1,0,0
"264","2008-05-22",2,2,1,0,0,0,0,0,0,0
"265","2008-05-23",1,1,1,0,0,0,0,0,0,0
"266","2008-05-24",1,1,0,0,0,0,0,0,0,0
"267","2008-05-27",2,2,0,0,0,0,1,0,0,0
"268","2008-05-30",1,1,0,0,0,0,0,0,0,0
"269","2008-06-05",1,1,4,0,0,0,0,0,0,0
"270","2008-06-07",1,1,0,0,0,0,0,0,0,0
"271","2008-06-09",1,1,1,0,0,0,0,2,0,0
"272","2008-06-11",1,1,1,0,0,0,0,1,0,0
"273","2008-06-12",1,1,1,0,0,0,0,0,0,0
"274","2008-06-14",1,1,0,0,0,0,0,0,0,0
"275","2008-06-16",1,1,1,0,0,0,0,0,0,0
"276","2008-06-19",1,1,1,0,0,0,0,0,0,0
"277","2008-06-20",1,1,1,0,0,0,0,0,0,0
"278","2008-06-21",1,1,2,0,0,0,1,0,0,0
"279","2008-06-23",1,1,0,0,0,0,0,0,0,0
"280","2008-06-26",1,1,1,0,0,0,0,1,0,0
"281","2008-06-29",1,1,3,0,0,0,0,0,0,0
"282","2008-07-02",2,2,2,0,0,0,1,1,0,0
"283","2008-07-03",1,1,1,0,0,0,1,0,0,0
"284","2008-07-04",1,1,0,0,0,0,0,0,0,0
"285","2008-07-05",1,1,1,0,0,0,1,0,0,0
"286","2008-07-09",1,1,0,0,0,0,0,0,0,0
"287","2008-07-11",1,1,4,0,0,0,0,0,0,0
"288","2008-07-12",1,1,0,0,0,0,0,0,0,0
"289","2008-07-14",1,1,0,0,0,0,1,0,0,0
"290","2008-07-17",1,1,2,0,0,0,0,0,0,0
"291","2008-07-19",1,1,0,0,0,0,0,0,0,0
"292","2008-07-21",1,1,0,0,0,0,0,0,0,0
"293","2008-07-27",1,1,3,0,0,0,1,0,0,1
"294","2008-07-29",2,2,25,0,0,0,0,0,0,0
"295","2008-07-30",1,1,1,0,0,0,0,0,0,0
"296","2008-07-31",1,1,1,0,0,0,0,0,0,0
"297","2008-08-04",1,1,0,0,0,0,1,0,0,0
"298","2008-08-07",2,2,1,0,0,0,0,0,0,0
"299","2008-08-13",1,1,0,0,0,0,0,0,0,0
"300","2008-08-14",1,1,3,0,0,0,0,0,0,0
"301","2008-08-16",1,1,1,0,0,0,0,0,0,0
"302","2008-08-17",1,1,0,0,0,0,0,0,0,0
"303","2008-08-18",1,1,1,0,0,0,0,0,0,0
"304","2008-08-20",1,1,0,0,0,0,1,0,0,0
"305","2008-08-21",1,1,0,0,0,0,0,0,0,0
"306","2008-08-22",1,1,0,0,0,0,0,0,0,0
"307","2008-08-23",1,1,1,0,0,0,1,0,0,0
"308","2008-08-27",1,1,0,0,0,0,1,0,0,0
"309","2008-09-09",1,1,0,0,0,0,0,0,0,0
"310","2008-09-11",2,2,1,0,0,0,0,0,0,0
"311","2008-09-12",1,1,0,0,0,0,0,0,0,0
"312","2008-09-16",1,1,0,0,0,0,0,0,0,0
"313","2008-09-18",2,2,1,0,0,0,0,0,0,0
"314","2008-09-20",1,1,2,0,0,0,0,0,0,0
"315","2008-09-24",1,1,0,0,0,0,0,0,0,0
"316","2008-09-25",2,2,0,0,0,0,0,0,0,0
"317","2008-10-03",2,2,2,0,0,0,0,0,0,0
"318","2008-10-10",1,1,1,0,0,0,0,0,0,0
"319","2008-10-11",1,1,0,0,0,0,0,0,0,0
"320","2008-10-12",1,1,1,0,0,0,0,0,0,0
"321","2008-10-13",1,1,0,0,0,0,0,0,0,0
"322","2008-10-15",2,2,1,0,0,0,1,0,0,0
"323","2008-10-18",1,1,0,0,0,0,0,1,0,0
"324","2008-10-23",1,1,1,0,0,0,0,2,0,0
"325","2008-10-28",1,1,0,0,0,0,0,0,0,0
"326","2008-10-30",2,2,4,0,0,0,0,0,0,0
"327","2008-11-03",1,1,0,0,0,0,1,0,0,0
"328","2008-11-04",1,1,2,0,0,0,0,1,0,0
"329","2008-11-05",1,1,0,0,0,0,0,0,0,0
"330","2008-11-09",1,1,1,1,0,0,0,1,0,0
"331","2008-11-10",2,2,1,0,0,0,0,0,0,0
"332","2008-11-13",1,1,0,1,0,0,0,0,0,0
"333","2008-11-14",1,1,4,0,0,0,0,1,0,0
"334","2008-11-17",2,2,0,0,0,0,0,0,0,0
"335","2008-11-21",1,1,2,0,0,0,0,0,0,0
"336","2008-11-22",2,2,1,0,0,0,1,0,0,0
"337","2008-11-24",1,1,0,0,0,0,0,0,0,0
"338","2008-11-26",3,3,3,0,0,0,2,0,0,0
"339","2008-11-27",2,2,0,0,0,0,1,0,0,0
"340","2008-11-28",1,1,1,0,0,0,0,1,0,0
"341","2008-12-01",2,2,1,0,0,0,0,0,0,0
"342","2008-12-02",1,1,1,0,0,0,0,1,0,0
"343","2008-12-04",1,1,0,0,0,0,0,0,0,0
"344","2008-12-05",1,1,1,0,0,0,1,0,0,0
"345","2008-12-07",2,2,0,0,0,0,0,0,0,0
"346","2008-12-08",1,1,2,0,0,0,0,0,0,0
"347","2008-12-11",1,1,0,2,0,0,0,0,0,0
"348","2008-12-12",2,2,1,0,0,0,0,0,0,0
"349","2008-12-13",1,1,0,0,0,0,1,0,0,0
"350","2008-12-17",1,1,1,0,0,0,1,0,0,0
"351","2008-12-18",1,1,0,0,0,0,0,0,0,0
"352","2008-12-20",1,1,0,0,0,0,0,0,0,0
"353","2008-12-22",2,2,0,0,0,0,0,0,0,0
"354","2008-12-23",2,2,0,0,0,0,0,0,0,0
"355","2008-12-25",2,2,0,0,0,0,0,0,0,0
"356","2008-12-26",2,2,0,0,0,0,0,0,0,0
"357","2008-12-27",1,1,0,0,0,0,0,0,0,0
"358","2008-12-28",1,1,0,0,0,0,0,0,0,0
"359","2009-01-04",1,1,1,0,0,0,0,0,0,0
"360","2009-01-05",1,1,0,0,0,0,0,0,0,0
"361","2009-01-10",2,2,0,0,0,0,0,1,0,0
"362","2009-01-12",1,1,1,0,0,0,0,0,0,0
"363","2009-01-14",1,1,0,0,0,0,0,0,0,0
"364","2009-01-22",1,1,2,0,0,0,0,1,0,0
"365","2009-01-24",2,2,0,0,0,0,0,0,0,0
"366","2009-01-31",1,1,0,0,0,0,0,0,0,0
"367","2009-02-03",1,1,0,0,0,0,0,0,0,0
"368","2009-02-10",1,1,0,0,0,0,0,0,0,0
"369","2009-02-23",1,1,0,0,0,0,0,0,0,0
"370","2009-02-24",1,1,0,0,0,0,0,0,0,0
"371","2009-02-26",1,1,3,0,0,0,0,0,0,0
"372","2009-03-09",1,1,0,0,0,0,0,0,0,0
"373","2009-03-10",1,1,0,0,0,0,0,0,0,0
"374","2009-03-11",1,1,0,0,0,0,0,0,0,1
"375","2009-03-12",1,1,0,0,0,0,0,0,0,0
"376","2009-03-17",3,3,4,0,0,0,0,1,0,0
"377","2009-03-18",1,1,2,0,0,0,0,0,0,0
"378","2009-03-19",1,1,1,0,0,0,0,0,0,3
"379","2009-03-23",1,1,0,0,0,0,0,0,0,0
"380","2009-03-25",3,3,3,0,0,0,0,0,0,0
"381","2009-03-27",1,1,0,0,0,0,0,0,0,0
"382","2009-03-28",1,1,1,0,0,0,1,0,0,0
"383","2009-03-30",1,1,2,0,0,0,0,0,0,0
"384","2009-03-31",2,2,2,0,0,0,1,0,0,0
"385","2009-04-03",2,2,0,0,0,0,0,0,0,0
"386","2009-04-06",1,1,3,0,0,0,0,0,0,0
"387","2009-04-07",1,1,1,0,0,0,0,0,0,0
"388","2009-04-08",1,1,4,0,0,0,0,0,0,0
"389","2009-04-10",4,4,1,0,0,0,0,0,0,0
"390","2009-04-11",2,2,0,0,0,0,0,0,0,0
"391","2009-04-12",2,2,3,0,0,0,0,1,0,0
"392","2009-04-13",2,2,1,0,0,0,0,0,0,0
"393","2009-04-14",1,1,2,0,0,0,0,0,0,1
"394","2009-04-15",2,2,1,0,0,0,0,0,0,1
"395","2009-04-16",6,6,3,0,0,0,1,1,0,1
"396","2009-04-19",2,2,1,0,1,0,0,1,0,0
"397","2009-04-20",1,1,0,0,0,0,2,0,0,0
"398","2009-04-22",2,2,1,0,1,0,0,0,0,0
"399","2009-04-24",2,2,0,0,0,0,0,0,0,0
"400","2009-04-27",1,1,0,0,0,0,0,0,0,1
"401","2009-04-29",1,1,1,1,0,0,0,0,0,1
"402","2009-05-04",1,1,0,0,0,0,1,0,0,0
"403","2009-05-05",2,2,2,0,0,0,0,0,0,1
"404","2009-05-07",3,3,0,0,0,0,0,1,0,0
"405","2009-05-11",2,2,2,0,0,0,0,2,0,0
"406","2009-05-13",5,5,1,0,0,0,0,0,0,1
"407","2009-05-15",1,1,0,0,0,0,0,0,0,1
"408","2009-05-16",2,2,2,0,0,0,0,0,0,0
"409","2009-05-18",2,2,0,0,0,0,0,0,0,0
"410","2009-05-19",2,2,1,0,0,0,0,1,0,0
"411","2009-05-21",2,2,2,0,0,0,0,0,0,0
"412","2009-05-22",1,1,0,0,0,0,0,0,0,0
"413","2009-05-29",3,3,0,0,0,0,0,2,0,0
"414","2009-05-31",1,1,1,0,0,0,0,0,0,0
"415","2009-06-01",1,1,1,0,0,0,0,0,0,0
"416","2009-06-03",2,2,0,0,0,0,0,4,0,0
"417","2009-06-05",1,1,0,0,0,0,0,0,0,2
"418","2009-06-08",3,3,0,0,0,0,0,3,0,0
"419","2009-06-10",2,2,0,0,0,0,0,0,0,0
"420","2009-06-12",1,1,0,0,0,0,0,2,0,0
"421","2009-06-13",1,1,2,0,0,0,0,0,0,0
"422","2009-06-14",2,2,0,0,0,0,0,0,0,2
"423","2009-06-15",2,2,4,0,0,0,0,6,0,0
"424","2009-06-16",3,3,0,0,0,0,0,1,0,0
"425","2009-06-17",4,4,0,0,0,0,0,2,0,0
"426","2009-06-18",1,1,1,0,0,0,0,0,0,0
"427","2009-06-19",1,1,3,0,0,0,0,0,0,0
"428","2009-06-23",3,3,4,0,1,0,0,0,0,0
"429","2009-07-03",1,1,0,0,0,0,0,0,0,1
"430","2009-07-06",1,1,0,0,0,0,0,0,0,0
"431","2009-07-07",1,1,0,0,0,0,0,0,0,0
"432","2009-07-08",3,3,0,0,0,0,0,0,0,0
"433","2009-07-09",2,2,0,0,0,0,0,0,0,0
